CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManIBlo,CenManFTip,CenManNom,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenFacCol,CenConPro%
306,T,SemNov01-2018,SemNov02-*,*,T,Doña Carmen,*,0,*,*,*,*,*,*,*
307,T,SemJun04-2018,SemAgo04-*,*,T,Doña Carmen PV,*,0,*,*,*,*,*,*,*
308,T,SemMay01-2018,SemMay01-*,*,T,Eagon,*,0,*,*,*,*,*,*,*
309,T,SemFeb04-2019,SemMar01-*,*,T,El Arrayán,*,0,*,*,*,*,*,*,*
310,T,SemJun04-2018,SemJun04-*,*,T,El Boco,*,0,*,*,*,*,*,*,*
311,T,SemAgo04-2018,SemAgo04-*,*,T,El Divisadero PV,*,0,*,*,*,*,*,*,*
312,T,SemAgo03-2018,SemAgo03-*,*,T,El Molle,*,0,*,*,*,*,*,*,*
313,T,SemSep01-2018,SemSep01-*,*,T,El Paico,*,0,*,*,*,*,*,*,*
314,T,SemJul02-2018,SemJul02-*,*,T,El Peñón,*,79.22124,*,*,*,*,*,*,*
315,T,SemAgo01-2018,SemAgo01-*,*,T,El Pilar Los Amarillos,*,0,*,*,*,*,*,*,*
316,T,SemMay03-2018,SemMay03-*,*,T,El Romero,*,0,*,*,*,*,*,*,*
317,T,SemMay04-2018,SemMay04-*,*,T,El Salvador TG,*,0,*,*,*,*,*,*,*
318,T,SemAbr01-2018,SemAbr02-*,*,T,Eolica Totoral,*,43.56,*,*,*,*,*,*,*
319,T,SemJun01-2018,SemJun01-*,*,T,Emelda 01,*,0,*,*,*,*,*,*,*
320,T,SemJun02-2018,SemJun02-*,*,T,Emelda 02,*,0,*,*,*,*,*,*,*
321,T,SemNov04-2018,SemDic01-*,*,T,ENAP_Aconcagua,*,0,*,*,*,*,*,*,*
322,T,SemOct01-2018,SemOct02-*,*,T,Energía Biobio,*,0,*,*,*,*,*,*,*
323,T,SemOct04-2019,SemOct04-*,*,T,Energía Pacífico,*,0,*,*,*,*,*,*,*
324,T,SemJul02-2018,SemJul03-*,*,T,Eolica Canela 01,*,16.335,*,*,*,*,*,*,*
325,T,SemJun03-2018,SemJun04-*,*,T,Eolica Canela 02,*,57.915,*,*,*,*,*,*,*
326,T,SemMay01-2030,SemMay02-*,*,T,Eolica Charrua 01,*,0,*,*,*,*,*,*,*
327,T,SemAgo04-2018,SemSep01-*,*,T,Negrete Cuel,*,31.01805,*,*,*,*,*,*,*
328,T,SemAbr03-2018,SemAbr04-*,*,T,Eólica La Esperanza,*,0,*,*,*,*,*,*,*
329,T,SemSep03-2018,SemSep04-*,*,T,Eólica Las Peñas,*,0,*,*,*,*,*,*,*
330,T,SemSep03-2019,SemSep04-*,*,T,Eólica Lebu,*,0,*,*,*,*,*,*,*
331,T,SemJul03-2018,SemJul03-*,*,T,Eólica Lebu II,*,0,*,*,*,*,*,*,*
332,T,SemMar04-2018,SemAbr01-*,*,T,Monte Redondo,*,45.01894737,*,*,*,*,*,*,*
333,T,SemAgo02-2018,SemAgo03-*,*,T,Eolica Punta Colorada,*,17.9982,*,*,*,*,*,*,*
334,T,SemMay04-2018,SemJun01-*,*,T,San Pedro Eólico,*,34,*,*,*,*,*,*,*
335,T,SemJun02-2019,SemJun02-*,*,T,Escuadron 01,*,0,*,*,*,*,*,*,*
336,T,SemJun02-2018,SemJun02-*,*,T,Escuadron 02,*,0,*,*,*,*,*,*,*
337,T,SemJun02-2019,SemJun02-*,*,T,Esperanza 01,*,0,*,*,*,*,*,*,*
338,T,SemMay04-2019,SemMay04-*,*,T,Esperanza 02,*,0,*,*,*,*,*,*,*
339,T,SemJun01-2019,SemJun01-*,*,T,Esperanza 03,*,0,*,*,*,*,*,*,*
340,T,SemJul04-2019,SemJul04-*,*,T,Espinos 01,*,0,*,*,*,*,*,*,*
341,T,SemAgo02-2019,SemAgo02-*,*,T,Espinos 02,*,0,*,*,*,*,*,*,*
342,T,SemJun01-2018,SemJun01-*,*,T,Estancilla,*,0,*,*,*,*,*,*,*
343,T,SemSep02-2019,SemSep04-*,*,T,Guacolda 01,*,0,*,*,*,*,*,*,*
344,T,SemOct01-2018,SemOct03-*,*,T,Guacolda 02,*,0,*,*,*,*,*,*,*
345,T,SemOct04-2020,SemNov02-*,*,T,Guacolda 03,*,0,*,*,*,*,*,*,*
346,T,SemNov03-2019,SemDic01-*,*,T,Guacolda 04,*,0,*,*,*,*,*,*,*
347,T,SemDic02-2019,SemDic04-*,*,T,Guacolda 05,*,0,*,*,*,*,*,*,*
348,T,SemSep03-2018,SemSep03-*,*,T,Guanaco Solar,*,0,*,*,*,*,*,*,*
349,T,SemNov04-2018,SemNov04-*,*,T,HBS,*,0,*,*,*,*,*,*,*
350,T,SemAgo04-2018,SemAgo04-*,*,T,HBS GNL,*,0,*,*,*,*,*,*,*
351,T,SemMay04-2019,SemMay04-*,*,T,Horcones TG Diesel,*,0,*,*,*,*,*,*,*
352,T,SemJul03-2018,SemJul03-*,*,T,Huajache,*,0,*,*,*,*,*,*,*
353,T,SemJul03-2019,SemJul04-*,*,T,Huasco TG,*,38.454,*,*,*,*,*,*,*
354,T,SemJul04-2018,SemJul04-*,*,T,Javiera,*,0,*,*,*,*,*,*,*
355,T,SemMay03-2018,SemMay03-*,*,T,JCE,*,0,*,*,*,*,*,*,*
356,T,SemAgo01-2018,SemAgo01-*,*,T,La Chapeana,*,0,*,*,*,*,*,*,*
357,T,SemAgo03-2018,SemAgo03-*,*,T,La Silla,*,0,*,*,*,*,*,*,*
358,T,SemAgo01-2018,SemAgo01-*,*,T,Laguna Verde TG,*,0,*,*,*,*,*,*,*
359,T,SemJul02-2018,SemJul02-*,*,T,Laguna Verde,*,22.56,*,*,*,*,*,*,*
360,T,SemSep02-2018,SemSep02-*,*,T,Lagunilla,*,0,*,*,*,*,*,*,*
361,T,SemMar04-2019,SemAbr01-*,*,T,Laja 01,*,0,*,*,*,*,*,*,*
362,T,SemMar04-2019,SemAbr01-*,*,T,Laja 02,*,0,*,*,*,*,*,*,*
363,T,SemJul01-2018,SemJul01-*,*,T,Lalackama,*,0,*,*,*,*,*,*,*
364,T,SemJul01-2018,SemJul01-*,*,T,Lalackama 2,*,0,*,*,*,*,*,*,*
365,T,SemAgo01-2018,SemAgo01-*,*,T,Las Araucarias,*,0,*,*,*,*,*,*,*
366,T,SemAgo02-2018,SemAgo02-*,*,T,Las Mollacas,*,0,*,*,*,*,*,*,*
367,T,SemJun02-2018,SemJun04-*,*,T,Las Pampas,*,0,*,*,*,*,*,*,*
368,T,SemJun02-2018,SemJun02-*,*,T,Las Vegas,*,0,*,*,*,*,*,*,*
369,T,SemEne03-2018,SemEne03-*,*,T,Lebu,*,0,*,*,*,*,*,*,*
370,T,SemOct04-2019,SemOct04-*,*,T,licanten 00,*,0,*,*,*,*,*,*,*
371,T,SemJun01-2018,SemJun01-*,*,T,licanten 01,*,0,*,*,*,*,*,*,*
372,T,SemJun01-2018,SemJun01-*,*,T,Linares,*,0,*,*,*,*,*,*,*
373,T,SemAgo03-2018,SemAgo03-*,*,T,Llano de Llampos FV,*,0,*,*,*,*,*,*,*
374,T,SemSep04-2018,SemOct01-*,*,T,Los Colorados 01,*,0,*,*,*,*,*,*,*
375,T,SemSep04-2018,SemOct01-*,*,T,Los Colorados 02,*,0,*,*,*,*,*,*,*
376,T,SemJul03-2018,SemJul03-*,*,T,Lomas Coloradas FV,*,0,*,*,*,*,*,*,*
377,T,SemMay01-2018,SemMay01-*,*,T,Lonquimay,*,0,*,*,*,*,*,*,*
378,T,SemMar03-2018,SemMar03-*,*,T,Los Alamos,*,0,*,*,*,*,*,*,*
379,T,SemJul04-2018,SemAgo01-*,*,T,Los Buenos Aires,*,0,*,*,*,*,*,*,*
380,T,SemAbr02-2018,SemAbr03-*,*,T,Los Cururos,*,107.6664253,*,*,*,*,*,*,*
381,T,SemSep01-2019,SemSep02-*,*,T,Los Guindos,*,0,*,*,*,*,*,*,*
382,T,SemSep01-2018,SemSep01-*,*,T,Los Loros,*,0,*,*,*,*,*,*,*
383,T,SemNov04-2020,SemDic01-*,*,T,Los Pinos,*,0,*,*,*,*,*,*,*
384,T,SemJun02-2018,SemJun02-*,*,T,Los Sauces 1,*,0,*,*,*,*,*,*,*
385,T,SemMar04-2018,SemMar04-*,*,T,Los Sauces 2,*,0,*,*,*,*,*,*,*
386,T,SemOct03-2019,SemOct04-*,*,T,Los Vientos,*,0,*,*,*,*,*,*,*
387,T,SemEne04-2018,SemEne04-*,*,T,Louisiana Pacific,*,0,*,*,*,*,*,*,*
388,T,SemJun01-2018,SemJun01-*,*,T,Louisiana Pacific 2,*,0,*,*,*,*,*,*,*
389,T,SemJul04-2018,SemJul04-*,*,T,Luna,*,0,*,*,*,*,*,*,*
390,T,SemSep01-2018,SemSep01-*,*,T,Luz del Norte FV,*,0,*,*,*,*,*,*,*
391,T,SemJul04-2018,SemJul04-*,*,T,Malgarida,*,0,*,*,*,*,*,*,*
392,T,SemOct01-2020,SemOct02-*,*,T,Masisa,*,0,*,*,*,*,*,*,*
393,T,SemOct04-2018,SemOct04-*,*,T,Maule,*,5,*,*,*,*,*,*,*
394,T,SemMay01-2018,SemMay01-*,*,T,Monte Patria,*,0,*,*,*,*,*,*,*
395,T,SemMay01-2018,SemMay01-*,*,T,Multiexport I,*,0,*,*,*,*,*,*,*
396,T,SemEne03-2018,SemEne03-*,*,T,Multiexport II,*,0,*,*,*,*,*,*,*
397,T,SemDic02-2020,SemDic04-*,*,T,Nehuenco 01 GNL CP,*,0,*,*,*,*,*,*,*
398,T,SemDic02-2020,SemDic04-*,*,T,Nehuenco 01 Diesel,*,0,*,*,*,*,*,*,*
399,T,SemDic02-2020,SemDic04-*,*,T,Nehuenco 01 FA GNL,*,0,*,*,*,*,*,*,*
400,T,SemDic02-2028,SemDic04-*,*,T,Nehuenco 01 GNL,*,0,*,*,*,*,*,*,*
401,T,SemOct04-2020,SemNov02-*,*,T,Nehuenco 02 Diesel,*,0,*,*,*,*,*,*,*
402,T,SemOct04-2020,SemNov02-*,*,T,Nehuenco 02 GNL,*,0,*,*,*,*,*,*,*
403,T,SemOct04-2020,SemNov02-*,*,T,Nehuenco 02 GNL CP,*,0,*,*,*,*,*,*,*
404,T,SemSep03-2019,SemOct01-*,*,T,Nehuenco 9B 01 Diesel,*,0,*,*,*,*,*,*,*
405,T,SemSep03-2018,SemOct01-*,*,T,Nehuenco 9B 02 Diesel,*,0,*,*,*,*,*,*,*
406,T,SemJun01-2018,SemJun01-*,*,T,Newen,*,0,*,*,*,*,*,*,*
407,T,SemMay04-2019,SemMay04-*,*,T,Nueva Aldea 02 Diesel,*,0,*,*,*,*,*,*,*
408,T,SemAgo03-2019,SemAgo04-*,*,T,Nueva Aldea 01,*,0,*,*,*,*,*,*,*
409,T,SemSep04-2019,SemOct01-*,*,T,Nueva Aldea 03,*,0,*,*,*,*,*,*,*
410,T,SemSep02-2019,SemSep04-*,*,T,Nueva Renca GNL CP,*,0,*,*,*,*,*,*,*
411,T,SemSep02-2028,SemSep04-*,*,T,Nueva Renca Int GNL,*,0,*,*,*,*,*,*,*
412,T,SemSep02-2018,SemSep04-*,*,T,Nueva Renca Diesel,*,0,*,*,*,*,*,*,*
413,T,SemSep02-2018,SemSep04-*,*,T,Nueva Renca FA GLP,*,0,*,*,*,*,*,*,*
414,T,SemSep02-2029,SemSep04-*,*,T,Nueva Renca GNL,*,0,*,*,*,*,*,*,*
415,T,SemJul04-2019,SemAgo01-*,*,T,Olivos 01,*,0,*,*,*,*,*,*,*
416,T,SemAgo02-2019,SemAgo03-*,*,T,Olivos 02,*,0,*,*,*,*,*,*,*
417,T,SemJul03-2018,SemJul03-*,*,T,Orafti,*,0,*,*,*,*,*,*,*
418,T,SemSep02-2018,SemSep02-*,*,T,Pampa Solar Norte,*,0,*,*,*,*,*,*,*
419,T,SemJul01-2018,SemJul01-*,*,T,Pelícano,*,0,*,*,*,*,*,*,*
420,T,SemNov04-2018,SemNov04-*,*,T,Petropower,*,0,*,*,*,*,*,*,*
421,T,SemMay04-2018,SemMay04-*,*,T,Placilla,*,2,*,*,*,*,*,*,*
422,T,SemMay03-2018,SemMay03-*,*,T,Punitaqui,*,0,*,*,*,*,*,*,*
423,T,SemOct04-2019,SemOct04-*,*,T,Punta Colorada 01 Fuel,*,0,*,*,*,*,*,*,*
424,T,SemAgo03-2018,SemAgo04-*,*,T,Punta Palmeras,*,0,*,*,*,*,*,*,*
425,T,SemMay03-2018,SemMay03-*,*,T,Quellon 01,*,0,*,*,*,*,*,*,*
426,T,SemMay04-2018,SemMay04-*,*,T,Quellon 02,*,5.6,*,*,*,*,*,*,*
427,T,SemJul03-2018,SemJul03-*,*,T,Quilapilún,*,0,*,*,*,*,*,*,*
428,T,SemAgo01-2019,SemAgo01-*,*,T,Quintay,*,2,*,*,*,*,*,*,*
429,T,SemSep01-2020,SemSep03-*,*,T,Quintero CC FA GNL,*,0,*,*,*,*,*,*,*
430,T,SemSep01-2020,SemSep03-*,*,T,Quintero CC GNL,*,0,*,*,*,*,*,*,*
431,T,SemAgo02-2020,SemAgo04-*,*,T,Quintero 01 CA Diesel,*,0,*,*,*,*,*,*,*
432,T,SemAgo02-2020,SemAgo04-*,*,T,Quintero 01 CA GNL,*,0,*,*,*,*,*,*,*
433,T,SemDic01-2020,SemDic03-*,*,T,Quintero 02 CA Diesel,*,0,*,*,*,*,*,*,*
434,T,SemDic01-2020,SemDic03-*,*,T,Quintero 02 CA GNL,*,0,*,*,*,*,*,*,*
435,T,SemMay02-2018,SemMay03-*,*,T,Raki,*,0,*,*,*,*,*,*,*
436,T,SemSep02-2018,SemSep02-*,*,T,Raso power,*,0,*,*,*,*,*,*,*
437,T,SemAbr01-2019,SemAbr03-*,*,T,Renaico,*,0,*,*,*,*,*,*,*
438,T,SemJul03-2018,SemJul03-*,*,T,Renca,*,46,*,*,*,*,*,*,*
439,T,SemMar03-2018,SemMar03-*,*,T,Salmofood I,*,0,*,*,*,*,*,*,*
440,T,SemMar04-2018,SemMar04-*,*,T,Salmofood II,*,0,*,*,*,*,*,*,*
441,T,SemAgo02-2018,SemAgo02-*,*,T,Salvador FV,*,0,*,*,*,*,*,*,*
442,T,SemAgo01-2018,SemAgo01-*,*,T,San Andres FV,*,0,*,*,*,*,*,*,*
443,T,SemOct04-2018,SemOct04-*,*,T,San Francisco TG,*,0,*,*,*,*,*,*,*
444,T,SemJun02-2018,SemJun02-*,*,T,San Gregorio,*,0,*,*,*,*,*,*,*
445,T,SemSep03-2018,SemOct01-*,*,T,San Isidro 02 CC Diesel,*,0,*,*,*,*,*,*,*
446,T,SemSep03-2018,SemOct01-*,*,T,San Isidro 02 FA GNL,*,0,*,*,*,*,*,*,*
447,T,SemSep03-2018,SemOct01-*,*,T,San Isidro 02 GNL,*,0,*,*,*,*,*,*,*
448,T,SemNov03-2019,SemDic01-*,*,T,San Isidro Diesel,*,0,*,*,*,*,*,*,*
449,T,SemNov03-2018,SemDic01-*,*,T,San Isidro FA GNL,*,0,*,*,*,*,*,*,*
450,T,SemNov03-2019,SemDic01-*,*,T,San Isidro GNL,*,0,*,*,*,*,*,*,*
451,T,SemJun04-2018,SemJun04-*,*,T,San Juan I,*,0,*,*,*,*,*,*,*
452,T,SemJun04-2018,SemJun04-*,*,T,San Juan II,*,0,*,*,*,*,*,*,*
453,T,SemJun04-2018,SemJun04-*,*,T,San Juan III,*,0,*,*,*,*,*,*,*
454,T,SemJun04-2018,SemJun04-*,*,T,San Juan IV,*,0,*,*,*,*,*,*,*
455,T,SemJun04-2018,SemJun04-*,*,T,San Juan V,*,0,*,*,*,*,*,*,*
456,T,SemJun04-2018,SemJun04-*,*,T,San Juan VI,*,0,*,*,*,*,*,*,*
457,T,SemAgo01-2018,SemAgo01-*,*,T,San Lorenzo 01,*,0,*,*,*,*,*,*,*
458,T,SemMay04-2018,SemMay04-*,*,T,San Lorenzo 02,*,0,*,*,*,*,*,*,*
459,T,SemJun02-2018,SemJun02-*,*,T,San Lorenzo 03,*,0,*,*,*,*,*,*,*
460,T,SemJul03-2018,SemJul03-*,*,T,San Pedro Eólico II,*,0,*,*,*,*,*,*,*
461,T,SemNov04-2019,SemDic01-*,*,T,Santa Fe 01,*,0,*,*,*,*,*,*,*
462,T,SemNov04-2019,SemDic01-*,*,T,Santa Fe 02,*,0,*,*,*,*,*,*,*
463,T,SemNov04-2019,SemDic01-*,*,T,Santa Fe 03,*,0,*,*,*,*,*,*,*
464,T,SemNov04-2019,SemDic01-*,*,T,Santa Fe 04,*,0,*,*,*,*,*,*,*
465,T,SemJun02-2018,SemJun03-*,*,T,Santa Irene,*,0,*,*,*,*,*,*,*
466,T,SemJun01-2018,SemJun01-*,*,T,Santa Julia,*,0,*,*,*,*,*,*,*
467,T,SemSep04-2018,SemOct01-*,*,T,Santa Lidia,*,0,*,*,*,*,*,*,*
468,T,SemOct01-2019,SemOct03-*,*,T,Santa Maria,*,0,*,*,*,*,*,*,*
469,T,SemAgo04-2018,SemSep01-*,*,T,Santa Marta 01,*,10.7999904,*,*,*,*,*,*,*
470,T,SemAgo04-2018,SemSep01-*,*,T,Santa Marta 02,*,3.1456,*,*,*,*,*,*,*
471,T,SemAgo04-2018,SemAgo04-*,*,T,Santiago Solar,*,0,*,*,*,*,*,*,*
472,T,SemMay04-2018,SemMay04-*,*,T,SDGx01,*,0,*,*,*,*,*,*,*
473,T,SemMay04-2018,SemMay04-*,*,T,Skretting,*,0,*,*,*,*,*,*,*
474,T,SemJun01-2018,SemJun01-*,*,T,Skretting Osorno,*,0,*,*,*,*,*,*,*
475,T,SemJun01-2018,SemJun01-*,*,T,Sol,*,0,*,*,*,*,*,*,*
476,T,SemAgo03-2018,SemAgo03-*,*,T,Sol del Norte,*,0,*,*,*,*,*,*,*
477,T,SemJun01-2018,SemJun01-*,*,T,Solar Cardones,*,0,*,*,*,*,*,*,*
478,T,SemJun03-2030,SemJun03-*,*,T,Solar Cardones 02,*,0,*,*,*,*,*,*,*
479,T,SemJun04-2030,SemJun04-*,*,T,Solar Cardones 03,*,0,*,*,*,*,*,*,*
480,T,SemJun04-2030,SemJun04-*,*,T,Solar Cardones 04,*,0,*,*,*,*,*,*,*
481,T,SemJun03-2030,SemJun03-*,*,T,Solar Carrera Pinto 01,*,0,*,*,*,*,*,*,*
482,T,SemJul01-2031,SemJul01-*,*,T,Solar Carrera Pinto 02,*,0,*,*,*,*,*,*,*
483,T,SemSep01-2031,SemSep01-*,*,T,Solar Carrera Pinto 03,*,0,*,*,*,*,*,*,*
484,T,SemJun02-2031,SemJun02-*,*,T,Solar Diego de Almagro 01,*,0,*,*,*,*,*,*,*
485,T,SemJun04-2031,SemJun04-*,*,T,Solar Diego de Almagro 02,*,0,*,*,*,*,*,*,*
486,T,SemAgo04-2018,SemAgo04-*,*,T,Solar Esperanza,*,0,*,*,*,*,*,*,*
487,T,SemJun03-2018,SemJun03-*,*,T,Solar Hornitos,*,0,*,*,*,*,*,*,*
488,T,SemSep01-2018,SemSep01-*,*,T,Solar Las Terrazas,*,0,*,*,*,*,*,*,*
489,T,SemJun03-2018,SemJun03-*,*,T,Solar Loma los colorados,*,0,*,*,*,*,*,*,*
490,T,SemSep02-2031,SemSep02-*,*,T,Solar Ovalle 02,*,0,*,*,*,*,*,*,*
491,T,SemSep03-2033,SemSep03-*,*,T,Solar Ovalle 03,*,0,*,*,*,*,*,*,*
492,T,SemJun04-2030,SemJun04-*,*,T,Solar Ovalle 04,*,0,*,*,*,*,*,*,*
493,T,SemJul02-2031,SemJul02-*,*,T,Solar Pan de Azucar 01,*,0,*,*,*,*,*,*,*
494,T,SemSep02-2030,SemSep02-*,*,T,Solar Pan de Azucar 02,*,0,*,*,*,*,*,*,*
495,T,SemAgo04-2029,SemAgo04-*,*,T,Solar Pan de Azucar 03,*,0,*,*,*,*,*,*,*
496,T,SemJun03-2027,SemJun03-*,*,T,Solar Polpaico 01,*,0,*,*,*,*,*,*,*
497,T,SemJul03-2031,SemJul03-*,*,T,Solar Polpaico 03,*,0,*,*,*,*,*,*,*
498,T,SemDic03-2018,SemDic03-*,*,T,Solar Santa Cecilia,*,0,*,*,*,*,*,*,*
499,T,SemJul02-2018,SemJul03-*,*,T,Tal Tal Eólico,*,0,*,*,*,*,*,*,*
500,T,SemJun01-2018,SemJun02-*,*,T,Talinay Oriente,*,0,*,*,*,*,*,*,*
501,T,SemJun01-2018,SemJun02-*,*,T,Talinay Poniente,*,0,*,*,*,*,*,*,*
502,T,SemSep03-2020,SemOct01-*,*,T,Taltal 01 GNL,*,0,*,*,*,*,*,*,*
503,T,SemOct02-2020,SemNov01-*,*,T,Taltal 02 GNL,*,0,*,*,*,*,*,*,*
504,T,SemDic02-2020,SemDic04-*,*,T,Taltal CC GNL,*,0,*,*,*,*,*,*,*
505,T,SemSep03-2020,SemOct01-*,*,T,Taltal 01 Diesel,*,0,*,*,*,*,*,*,*
506,T,SemOct02-2020,SemNov01-*,*,T,Taltal 02 Diesel,*,0,*,*,*,*,*,*,*
507,T,SemEne01-2018,SemEne01-*,*,T,Tambo Real,*,0,*,*,*,*,*,*,*
508,T,SemJun04-2018,SemJul01-*,*,T,Tamm,*,0,*,*,*,*,*,*,*
509,T,SemOct04-2018,SemNov02-*,*,T,Tapihue,*,0,*,*,*,*,*,*,*
510,T,SemJul01-2018,SemJul01-*,*,T,Techos de Altamira,*,0,*,*,*,*,*,*,*
511,T,SemJul03-2018,SemJul03-*,*,T,Teno,*,57.24638889,*,*,*,*,*,*,*
512,T,SemJul01-2018,SemJul01-*,*,T,Termopacífico,*,0,*,*,*,*,*,*,*
513,T,SemJul03-2018,SemJul03-*,*,T,TilTil Solar,*,0,*,*,*,*,*,*,*
514,T,SemMar04-2018,SemMar04-*,*,T,Tirúa,*,0,*,*,*,*,*,*,*
515,T,SemMar03-2018,SemMar03-*,*,T,Tomaval 1,*,0,*,*,*,*,*,*,*
516,T,SemOct01-2018,SemOct03-*,*,T,Tomaval 2,*,0,*,*,*,*,*,*,*
517,T,SemJun01-2018,SemJun01-*,*,T,Totoral,*,2.869565217,*,*,*,*,*,*,*
518,T,SemAgo01-2018,SemAgo01-*,*,T,Trapen,*,79.22124,*,*,*,*,*,*,*
519,T,SemOct02-2018,SemOct04-*,*,T,Trebal Mapocho,*,0,*,*,*,*,*,*,*
520,T,SemMay04-2018,SemMay04-*,*,T,Trongol,*,0,*,*,*,*,*,*,*
521,T,SemJun02-2018,SemJun03-*,*,T,Ucuquer I,*,0,*,*,*,*,*,*,*
522,T,SemMay03-2019,SemMay04-*,*,T,Ucuquer II Eólico,*,0,*,*,*,*,*,*,*
523,T,SemNov02-2019,SemNov03-*,*,T,valdivia 01,*,0,*,*,*,*,*,*,*
524,T,SemNov02-2019,SemNov03-*,*,T,valdivia 02,*,0,*,*,*,*,*,*,*
525,T,SemNov02-2019,SemNov03-*,*,T,valdivia 03,*,0,*,*,*,*,*,*,*
526,T,SemNov02-2019,SemNov03-*,*,T,valdivia 04,*,0,*,*,*,*,*,*,*
527,T,SemJun03-2018,SemJun03-*,*,T,Valle Solar,*,0,*,*,*,*,*,*,*
528,T,SemJun03-2018,SemJun03-*,*,T,Valleland,*,0,*,*,*,*,*,*,*
529,T,SemFeb03-2019,SemMar01-*,*,T,Campiche,*,0,*,*,*,*,*,*,*
530,T,SemDic02-2019,SemDic04-*,*,T,Nueva Ventanas,*,0,*,*,*,*,*,*,*
531,T,SemEne01-2019,SemEne03-*,*,T,Ventanas 01,*,0,*,*,*,*,*,*,*
532,T,SemEne04-2019,SemFeb02-*,*,T,Ventanas 02,*,0,*,*,*,*,*,*,*
533,T,SemSep04-2019,SemOct01-*,*,T,Viñales 01,*,0,*,*,*,*,*,*,*
534,T,SemSep04-2018,SemOct01-*,*,T,Viñales 02,*,0,*,*,*,*,*,*,*
535,T,SemSep04-2018,SemOct01-*,*,T,Viñales 03,*,0,*,*,*,*,*,*,*
536,T,SemJul03-2018,SemJul03-*,*,T,Watt,*,0,*,*,*,*,*,*,*
537,T,SemEne03-2018,SemEne03-*,*,T,Watt II,*,0,*,*,*,*,*,*,*
538,T,SemNov04-2018,SemNov04-*,*,T,Yungay 04 CC Diesel,*,0,*,*,*,*,*,*,*
539,T,SemNov01-2018,SemNov01-*,*,T,Yungay 01 Diesel,*,0,*,*,*,*,*,*,*
540,T,SemNov02-2018,SemNov02-*,*,T,Yungay 02 Diesel,*,0,*,*,*,*,*,*,*
541,T,SemNov03-2018,SemNov03-*,*,T,Yungay 03 Diesel,*,0,*,*,*,*,*,*,*
542,T,SemNov04-2018,SemNov04-*,*,T,Yungay 04 Diesel,*,0,*,*,*,*,*,*,*
543,T,SemNov04-2019,SemNov04-*,*,T,CMPC Santa Fe,*,0,*,*,*,*,*,*,*
544,T,SemJun03-2018,SemJun03-*,*,T,Corral,*,0,*,*,*,*,*,*,*
545,T,SemFeb04-2018,SemFeb04-*,*,T,Cintac,*,0,*,*,*,*,*,*,*
546,T,SemJun03-2018,SemJun03-*,*,T,Marchigue II,*,0,*,*,*,*,*,*,*
547,T,SemSep01-2018,SemSep01-*,*,T,Esperanza II,*,0,*,*,*,*,*,*,*
548,T,SemJul01-2018,SemJul01-*,*,T,Solar Ñilhue,*,0,*,*,*,*,*,*,*
549,T,SemSep01-2018,SemSep01-*,*,T,Concon GNL,*,0,*,*,*,*,*,*,*
550,T,SemAgo04-2018,SemAgo04-*,*,T,Punta Sierra,*,0,*,*,*,*,*,*,*
551,T,SemAgo04-2018,SemAgo04-*,*,T,Cabilsol,*,0,*,*,*,*,*,*,*
552,T,SemAbr01-2018,SemAbr01-*,*,T,Panquehue II,*,0,*,*,*,*,*,*,*
553,T,SemAgo02-2018,SemAgo02-*,*,T,PMG Antay I,*,0,*,*,*,*,*,*,*
554,T,SemMay03-2018,SemMay03-*,*,T,Las Turcas,*,0,*,*,*,*,*,*,*
555,T,SemMay03-2018,SemMay03-*,*,T,Valle de la luna 2,*,0,*,*,*,*,*,*,*
556,T,SemMay03-2018,SemMay03-*,*,T,Don Eugenio,*,0,*,*,*,*,*,*,*
557,T,SemJun04-2018,SemJun04-*,*,T,El Campesino Biogas,*,0,*,*,*,*,*,*,*
558,T,SemSep03-2018,SemSep03-*,*,T,La Quinta Solar,*,0,*,*,*,*,*,*,*
559,T,SemJul03-2018,SemJul03-*,*,T,San Francisco Solar,*,0,*,*,*,*,*,*,*
560,T,SemAbr01-2018,SemAbr01-*,*,T,El Queltehue,*,0,*,*,*,*,*,*,*
561,T,SemJun03-2018,SemJun03-*,*,T,Alturas de ovalle,*,0,*,*,*,*,*,*,*
562,T,SemAgo02-2018,SemAgo02-*,*,T,Chile generación,*,0,*,*,*,*,*,*,*
563,T,SemSep03-2018,SemSep03-*,*,T,El Nogal,*,0,*,*,*,*,*,*,*
564,T,SemFeb04-2018,SemFeb04-*,*,T,Los pinos biogas,*,0,*,*,*,*,*,*,*
565,T,SemSep03-2018,SemSep03-*,*,T,Molina,*,0,*,*,*,*,*,*,*
566,T,SemSep01-2018,SemSep01-*,*,T,Cuz cuz,*,0,*,*,*,*,*,*,*
567,T,SemAgo03-2018,SemAgo03-*,*,T,El Canelo 2,*,0,*,*,*,*,*,*,*
568,T,SemAgo03-2018,SemAgo03-*,*,T,Raso power 2,*,0,*,*,*,*,*,*,*
569,T,SemJul03-2018,SemJul03-*,*,T,Altos del Paico,*,0,*,*,*,*,*,*,*
570,T,SemJun04-2027,SemJun04-*,*,T,Eolica Maitencillo 01,*,0,*,*,*,*,*,*,*
571,T,SemAbr01-2026,SemAbr01-*,*,T,Eolica Ciruelos 01,*,0,*,*,*,*,*,*,*
