TIMEPOINT,G4,G3,V1
1,5.26315789474,0.0,20.0
2,5.26315789474,0.0,20.0
3,5.26315789474,0.0,20.0
4,5.26315789474,0.0,20.0
5,5.26315789474,0.0,20.0
6,5.26315789474,0.0,20.0
7,0.0,1.63611814155e-15,20.0
8,0.0,0.0,20.0
9,2.33731163079e-16,0.0,20.0
10,0.0,0.0,20.0
11,0.0,0.0,20.0
12,0.0,0.0,20.0
13,0.0,0.0,20.0
14,0.0,0.0,20.0
15,0.0,0.0,20.0
16,0.0,0.0,20.0
17,0.0,0.0,20.0
18,0.0,0.0,20.0
19,0.0,0.0,20.0
20,0.0,0.0,20.0
21,0.0,0.0,20.0
22,0.0,0.0,20.0
23,0.0,0.0,20.0
24,0.0,0.0,20.0
