DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
27,F,2028,2028,Alto Jahuel 110,0,F,EtaMes,40.27858581,41.44160961,38.6486065,41.36407325,41.75110261,40.29011118,41.50778985,41.39571558,41.21666124,44.74187508,45.2117865,47.58663464
28,F,2029,2029,Alto Jahuel 110,0,F,EtaMes,41.57222323,42.7770737,39.87463459,42.68016319,43.02394138,41.51173042,42.82274381,42.70467764,42.50806978,45.00713467,45.46741579,47.83577701
29,F,2030,2030,Alto Jahuel 110,0,F,EtaMes,41.82108748,43.0351734,40.09989298,42.9233112,43.22520483,41.69151798,43.06161157,42.9409812,42.73243387,45.0588453,45.50914648,47.86267107
30,F,2031,*,Alto Jahuel 110,0,F,EtaMes,41.86537648,43.08253571,40.1332831,42.95940569,43.22281167,41.67171507,43.09718754,42.9758946,42.75900383,45.82514865,46.28360378,48.66288319
31,F,2017,2017,Alto Jahuel 154,0,F,EtaMes,41.08953687,44.12181135,41.87158033,37.65489886,45.96956647,43.95295746,41.73897119,46.19125345,44.83693203,52.45123697,45.35075748,52.76000095
32,F,2018,2018,Alto Jahuel 154,0,F,EtaMes,44.06763237,47.36533834,44.94059262,40.37236989,49.30661238,47.13051234,44.66532306,49.51637473,48.0413369,55.23666533,48.04223394,55.82478007
33,F,2019,2019,Alto Jahuel 154,0,F,EtaMes,46.22423684,49.81801141,47.26430525,42.28908374,51.83555996,49.52518944,46.77396189,52.01702803,50.30666419,56.97539526,49.70947728,57.72850144
34,F,2020,2020,Alto Jahuel 154,0,F,EtaMes,47.82227685,51.60772618,48.96649899,43.73029964,53.69007258,51.28635728,48.35011256,53.85691199,52.00855264,57.30260749,49.75057031,57.81453675
35,F,2021,2021,Alto Jahuel 154,0,F,EtaMes,47.86317509,51.53375431,48.89563505,43.81409609,53.62253896,51.23680683,48.45471401,53.8280891,52.12250915,59.36345842,51.83564896,60.17850549
36,F,2022,2022,Alto Jahuel 154,0,F,EtaMes,49.86056272,53.8205652,51.07147661,45.59770095,55.98964276,53.47825273,50.40058808,56.16144051,54.2221885,61.3697609,53.79851547,62.41864756
37,F,2023,2023,Alto Jahuel 154,0,F,EtaMes,51.74451026,55.94717244,53.09245311,47.28521107,58.19249997,55.56965583,52.24689233,58.33978431,56.21630797,63.16511897,55.54002701,64.40791981
38,F,2024,2024,Alto Jahuel 154,0,F,EtaMes,53.4157443,57.82776266,54.87979501,48.78474572,60.14110854,57.42027048,53.88795979,60.26853455,57.98898146,65.58392205,57.74005282,66.95250839
39,F,2025,2025,Alto Jahuel 154,0,F,EtaMes,55.53233285,60.15450828,57.08859144,50.69763056,62.5604439,59.72751414,55.99647263,62.67600108,60.26351468,68.49195518,60.38497672,70.01129779
40,F,2026,2026,Alto Jahuel 154,0,F,EtaMes,58.07764176,62.95279405,59.74461009,52.99907377,65.47041554,62.50240964,58.53506612,65.57324338,62.99964355,71.33994033,62.93894613,72.97540113
41,F,2027,2027,Alto Jahuel 154,0,F,EtaMes,60.53830562,65.64291877,62.2966945,55.22572563,68.27090566,65.17629348,60.99646533,68.36429652,65.65210413,74.28066526,65.62483257,76.08495653
42,F,2028,2028,Alto Jahuel 154,0,F,EtaMes,63.12575679,68.49423474,65.00201749,57.55876262,71.23743761,68.00580573,63.57306386,71.31372863,68.42822407,77.24654884,68.29928164,79.18960821
43,F,2029,2029,Alto Jahuel 154,0,F,EtaMes,65.70409479,71.32079356,67.6827103,59.88627284,74.18017307,70.81539687,66.14744456,74.24294125,71.20189045,78.31913219,69.27448719,80.35158794
44,F,2030,2030,Alto Jahuel 154,0,F,EtaMes,66.66837629,72.3944159,68.688635,60.72803703,75.31066607,71.90121026,67.11543503,75.36090388,72.22547999,78.93865686,69.81511588,81.02005144
45,F,2031,*,Alto Jahuel 154,0,F,EtaMes,67.21911776,73.00553029,69.25342884,61.19536615,75.96390676,72.53446869,67.67871772,76.00609271,72.80893083,80.67079181,71.31945971,82.79426095
46,F,2017,2017,Alto Jahuel 220,0,F,EtaMes,0.140403233,0.125038026,0.093303879,0.122420721,0.097906891,0.108312694,0.105087674,0.101574013,0.18603108,0.097071297,0.097545255,0.178583736
47,F,2018,2018,Alto Jahuel 220,0,F,EtaMes,0.162383821,0.14461314,0.107910908,0.141586087,0.113234537,0.125269402,0.121539495,0.117475759,0.215154857,0.111183032,0.111725892,0.204545337
48,F,2019,2019,Alto Jahuel 220,0,F,EtaMes,0.18599036,0.165636267,0.123598451,0.162169157,0.129696001,0.143480435,0.139208293,0.134553792,0.246432983,0.112411142,0.112959999,0.206804713
49,F,2020,2020,Alto Jahuel 220,0,F,EtaMes,0.188044781,0.16746586,0.1249637,0.163960452,0.131128603,0.145065298,0.140745966,0.136040052,0.249155043,0.113451723,0.11400566,0.208719088
50,F,2021,2021,Alto Jahuel 220,0,F,EtaMes,0.189785496,0.169016078,0.126120479,0.165478221,0.13234245,0.146408156,0.14204884,0.137299364,0.251461451,0.114428659,0.114987366,0.210516373
51,F,2022,2022,Alto Jahuel 220,0,F,EtaMes,0.191419743,0.170471479,0.127206505,0.166903158,0.133482054,0.14766888,0.143272026,0.138481652,0.253626792,0.115090025,0.115651961,0.2117331
