TIMEPOINT,C,N,S
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,2.0,0.0
4,0.0,16.0,0.0
5,0.0,40.0,0.0
6,0.0,2.0,0.0
7,0.0,94.0,0.0
8,0.0,186.0,0.0
9,0.0,278.0,0.0
10,0.0,120.0,0.0
11,0.0,62.0,0.0
12,0.0,134.0,0.0
13,0.0,146.0,0.0
14,0.0,148.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,126.0,0.0
18,0.0,218.0,0.0
19,0.0,322.0,0.0
20,0.0,130.0,0.0
21,0.0,88.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
